city,timestamp,temperature,season
New York,2010-01-01,1.7756921944393946,winter
New York,2010-01-02,-3.282700915798359,winter
New York,2010-01-03,6.958954629394904,winter
New York,2010-01-04,2.793652874388078,winter
New York,2010-01-05,1.368946899189434,winter
New York,2010-01-06,3.15342291267502,winter
New York,2010-01-07,0.10192675617810994,winter
New York,2010-01-08,-5.985456033537197,winter
New York,2010-01-09,2.0353833133697252,winter
New York,2010-01-10,1.6326191486314716,winter
New York,2010-01-11,-5.109455573487446,winter
New York,2010-01-12,-5.8076251084563255,winter
New York,2010-01-13,-1.2277626656428247,winter
New York,2010-01-14,-1.0246044934007823,winter
New York,2010-01-15,-0.8518803646270544,winter
New York,2010-01-16,-5.378169223400771,winter
New York,2010-01-17,5.949119077214977,winter
New York,2010-01-18,-0.7223763266504292,winter
New York,2010-01-19,-6.3281965341787005,winter
New York,2010-01-20,-6.958683796117641,winter
New York,2010-01-21,1.739871499402411,winter
New York,2010-01-22,-5.987049095399241,winter
New York,2010-01-23,-1.4986492143816867,winter
New York,2010-01-24,-1.3901973504124443,winter
New York,2010-01-25,-2.70234694286754,winter
New York,2010-01-26,-0.34078559038938055,winter
New York,2010-01-27,4.236245252759244,winter
New York,2010-01-28,4.530025746249434,winter
New York,2010-01-29,-1.5987617674930787,winter
New York,2010-01-30,-2.0615923868600565,winter
New York,2010-01-31,-0.4283786734824949,winter
New York,2010-02-01,-2.7018824242674833,winter
New York,2010-02-02,-6.999430891186385,winter
New York,2010-02-03,3.2766593219249773,winter
New York,2010-02-04,1.4864036659652846,winter
New York,2010-02-05,-1.6234803716186823,winter
New York,2010-02-06,2.2131729145397667,winter
New York,2010-02-07,-0.5206714087591103,winter
New York,2010-02-08,-7.409051453407591,winter
New York,2010-02-09,2.440262835452311,winter
New York,2010-02-10,7.280887910041024,winter
New York,2010-02-11,-2.920579668423731,winter
New York,2010-02-12,3.552232925537728,winter
New York,2010-02-13,-6.823613803618864,winter
New York,2010-02-14,-1.0457140821996855,winter
New York,2010-02-15,-1.0200741810556555,winter
New York,2010-02-16,-7.754398886710893,winter
New York,2010-02-17,-1.4519103888117106,winter
New York,2010-02-18,-0.1716549812152081,winter
New York,2010-02-19,-5.993908932819715,winter
New York,2010-02-20,8.961774785269963,winter
New York,2010-02-21,3.738960554306399,winter
New York,2010-02-22,3.2465144363713447,winter
New York,2010-02-23,-4.790955313552171,winter
New York,2010-02-24,-3.982695622825971,winter
New York,2010-02-25,1.1845399515547963,winter
New York,2010-02-26,-3.679525652638679,winter
New York,2010-02-27,0.7122024217669719,winter
New York,2010-02-28,-8.829181085937092,winter
New York,2010-03-01,6.850436773969081,spring
New York,2010-03-02,13.744067977986905,spring
New York,2010-03-03,8.161475285519984,spring
New York,2010-03-04,10.483497736226946,spring
New York,2010-03-05,13.264675251860448,spring
New York,2010-03-06,14.936503336208155,spring
New York,2010-03-07,11.564907863184763,spring
New York,2010-03-08,1.2804450761189798,spring
New York,2010-03-09,10.456442917969753,spring
New York,2010-03-10,12.398673326520992,spring
New York,2010-03-11,8.15397058603307,spring
New York,2010-03-12,10.211482366517599,spring
New York,2010-03-13,1.2033229512247647,spring
New York,2010-03-14,9.005097015260777,spring
New York,2010-03-15,13.187091508365075,spring
New York,2010-03-16,6.9799786017773355,spring
New York,2010-03-17,7.300830593969655,spring
New York,2010-03-18,7.202134128359187,spring
New York,2010-03-19,11.897579241380024,spring
New York,2010-03-20,5.875907017752069,spring
New York,2010-03-21,3.621860503786106,spring
New York,2010-03-22,9.580050401465698,spring
New York,2010-03-23,10.053349529968902,spring
New York,2010-03-24,12.96652871490981,spring
New York,2010-03-25,7.684672296224909,spring
New York,2010-03-26,2.743490544893323,spring
New York,2010-03-27,-0.14621743013758248,spring
New York,2010-03-28,7.995347461348281,spring
New York,2010-03-29,9.730648478785739,spring
